% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/24 17:09:37
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
62952.63205745977; 575.258973591; -574.418974753; -86.9033071556; 31.0761666039
62961.63287571597; 575.15986147; -574.321169405; -86.9054507629; 31.0493254033
62970.63369397218; 575.06114182; -574.223761148; -86.9076061657; 31.0223945051
62979.63451222838; 574.954861198; -574.118766057; -86.9096957049; 30.9957233462
62988.63533048459; 574.848580842; -574.013767175; -86.9117799098; 30.9691133491
62997.63614874079; 574.742445893; -573.908891967; -86.9138264424; 30.9428962104
63006.636966997; 574.630933879; -573.798726905; -86.9160222871; 30.9149019855
63015.6377852532; 574.526388631; -573.695295691; -86.9178072065; 30.8914053491
63024.63860350941; 574.422888346; -573.59307269; -86.9198996343; 30.86489283
63033.63942176561; 574.308408868; -573.47984487; -86.9219172033; 30.8385475638
63042.64024002182; 574.194545431; -573.367126306; -86.9237399933; 30.8141925499
63051.64105827802; 574.085975301; -573.259705975; -86.9255879199; 30.7898771486
63060.64187653423; 573.9766444; -573.151624782; -86.9276216968; 30.7636687776
63069.64269479043; 573.858426625; -573.034593769; -86.9295164824; 30.7383822422
63078.64351304664; 573.742748497; -572.920078949; -86.9313762563; 30.713589503
63087.64433130284; 573.625163436; -572.803618552; -86.9331606599; 30.6894557246
63096.64514955905; 573.509708015; -572.689278698; -86.9349355296; 30.6655383802
63105.64596781525; 573.395201867; -572.575859727; -86.9366616065; 30.642166514
63114.64678607146; 573.282666175; -572.464443074; -86.9384542082; 30.6182420485
63123.64760432766; 573.171147912; -572.353942146; -86.9400608359; 30.596236688
63132.64842258387; 573.043427298; -572.227286623; -86.9417151725; 30.5728966062
63141.64924084007; 572.92876794; -572.113680002; -86.9433828314; 30.550127325
63150.65005909628; 572.801665163; -571.987665583; -86.9450857302; 30.5263497091
63159.65087735248; 572.682297; -571.86919286; -86.9464486031; 30.5063853921
63168.65169560869; 572.562118554; -571.750019932; -86.9480173867; 30.4843288152
63177.65251386489; 572.443254198; -571.63208125; -86.9494409619; 30.46379744
63186.6533321211; 572.322323005; -571.512155845; -86.9510110648; 30.4417004236
63195.6541503773; 572.206155315; -571.396914183; -86.9524451071; 30.4212201406
63204.65496863351; 572.084943659; -571.276471353; -86.9535707181; 30.4035528888
63213.65578688971; 571.963095598; -571.155491743; -86.9548833754; 30.3839919649
63222.65660514592; 571.843792578; -571.037070288; -86.95622868; 30.3642463765
63231.65742340212; 571.708746245; -570.902885512; -86.9574954666; 30.3444531436
63240.65824165833; 571.583729288; -570.778695815; -86.9587252618; 30.3255664753
63249.65905991453; 571.463002262; -570.658763277; -86.9599055538; 30.3074057096
63258.65987817074; 571.341861928; -570.538346371; -86.9609512854; 30.2905679099
63267.66069642694; 571.209988423; -570.407104099; -86.9617948007; 30.2751788483
63276.66151468315; 571.090050309; -570.287966323; -86.9629908786; 30.2569168486
63285.66233293936; 570.950928042; -570.14946345; -86.9637940863; 30.2415533157
63294.66315119556; 570.813380925; -570.012585782; -86.9646969626; 30.2252855018
63303.66396945177; 570.687617405; -569.887449784; -86.9655523671; 30.2101179772
