% Module: Sweep, ID: c0p1t6p1cfm0
% Devices: DEV4765
% Time: 2021/02/23 17:47:40
% Impedance 1 Sample Abs(Z), /dev4765/imps/0/sample.AbsZ
% Impedance 1 Sample Imag(Z), /dev4765/imps/0/sample.ImagZ
% Impedance 1 Sample Phase(Z), /dev4765/imps/0/sample.PhaseZ
% Impedance 1 Sample Real(Z), /dev4765/imps/0/sample.RealZ
% Frequency (Hz); Impedance 1 Sample Abs(Z)  Impedance (Ohm); Impedance 1 Sample Imag(Z)  Impedance (Ohm); Impedance 1 Sample Phase(Z)  Phase(Z) (deg); Impedance 1 Sample Real(Z)  Impedance (Ohm)
74752.70479134467; 2930.99435031; -2930.41755177; -88.8632917186; 58.1450678208
74761.70560960087; 2930.56704368; -2929.99068774; -88.8636451758; 58.1185157089
74770.70642785708; 2930.19176356; -2929.6148974; -88.8630694989; 58.1405083815
74779.70724611328; 2929.82520045; -2929.24816575; -88.8628320908; 58.1453726058
74788.70806436949; 2929.45882546; -2928.88193641; -88.862904694; 58.1343906713
74797.70888262569; 2929.08115338; -2928.5036868; -88.8622621092; 58.1597399492
74806.7097008819; 2928.6758108; -2928.09851737; -88.8623542074; 58.1469850558
74815.7105191381; 2928.27283109; -2927.69533224; -88.8620733443; 58.1533345699
74824.71133739431; 2927.9061647; -2927.32882903; -88.8621630679; 58.1414690397
74833.71215565052; 2927.51635904; -2926.93877901; -88.8618464085; 58.1499053347
74842.71297390672; 2927.13882067; -2926.56113154; -88.8616657961; 58.1516310808
74851.71379216292; 2926.81479705; -2926.23660142; -88.8611041007; 58.1738814316
74860.71461041913; 2926.42588881; -2925.84786755; -88.8611999084; 58.1612584969
74869.71542867534; 2926.0642196; -2925.48639443; -88.8613224851; 58.1478117619
74878.71624693154; 2925.63537303; -2925.05767922; -88.8613686972; 58.1369307437
74887.71706518774; 2925.31273931; -2924.73539629; -88.8616522697; 58.1160437941
74896.71788344395; 2924.88436613; -2924.30651564; -88.8610684138; 58.1373322201
74905.71870170016; 2924.55589059; -2923.97816242; -88.8611244344; 58.1279449183
74914.71951995636; 2924.14930702; -2923.57184047; -88.8613029169; 58.110757147
74923.72033821256; 2923.69361625; -2923.11557667; -88.8606498296; 58.1350201059
74932.72115646878; 2923.35808187; -2922.77946398; -88.8600146953; 58.160747214
74941.72197472498; 2922.97692796; -2922.39898945; -88.8606094605; 58.1228282032
74950.72279298118; 2922.64378601; -2922.06563754; -88.8603380307; 58.1300467567
74959.72361123738; 2922.25966695; -2921.68155828; -88.8603018591; 58.1242510526
74968.7244294936; 2921.90325275; -2921.32418698; -88.8592892043; 58.168793952
74977.7252477498; 2921.54192912; -2920.96292915; -88.8592834912; 58.161892082
74986.726066006; 2921.14078119; -2920.56190937; -88.8593315749; 58.1514555469
74995.7268842622; 2920.79298355; -2920.21474658; -88.8598893729; 58.1161014575
75004.72770251842; 2920.33572243; -2919.75695377; -88.859275869; 58.1382668844
75013.72852077462; 2919.99862562; -2919.41922773; -88.8585900332; 58.1665023239
75022.72933903082; 2919.6768199; -2919.09717181; -88.8582806329; 58.1758547165
75031.73015728702; 2919.23697216; -2918.65811611; -88.8589752212; 58.1317085532
75040.73097554324; 2918.89469718; -2918.31494784; -88.8580278232; 58.1731476588
75049.73179379944; 2918.51097197; -2917.9320334; -88.8587523064; 58.1286035564
75058.73261205564; 2918.15431282; -2917.57451356; -88.8578339174; 58.1682657202
